datum,stijl,bezetting,liturgie
2023-05-18,,,"Welkom en opening van de dienst
Lied: Heer we kijken omhoog (Sela)
Leefregel / bemoediging: Kol. 3,1-17
Lied: Abba, Vader (Opw. 136)
Intro op de bijbellezing: waar is de hemel?
Lied: wees stil voor het aangezicht van God
Bijbellezing: Handelingen 1,1-14
Preek
Lied: Psalm 68: 8, 13 (Gereformeerd Kerkboek)
Voorbeden en collecte (collectelied: licht van de wereld)
Lied: Heer uw licht en uw liefde 
Zegen"
2023-05-21,,,"votum
groet
zingen: LB 217:1-5
gebed
kindermoment
Lezen   Handelingen 1:12-22
zingen: Ps 109:1, 2, 8 (DNP)
Tekst  Handelingen 1:23-26
verkondiging
Het twaalftal van Jezus' apostelen wordt weer compleet.
    1. Hoezo ?
    2. Waarom ?
    3. Hoe ?
zingen: GK 226:1, 2, 4
zingen: GK 175a
mededelingen
gebed
collecte
zingen: LB 412:2, Ps 89:5 (DNP)
zegen"
2023-05-28,,,"Welkom en opening van de dienst
Eerste lied: ‘breng ons samen’ (Sela)
Leefregel: Galaten 5,22-6,10
Lied: 'Open the eyes of my heart Lord' (EN + NL) 'Schijn met Uw licht in mijn hart'
Gebed om vervulling met de Heilige Geest
Bijbellezing: Handelingen 2,14-42
Antwoordlied: 'Adonai' (Opw. 669) 
Preek: Haak aan, doe mee! - de Pinksterpreek van Petrus.
Kinderlied: ‘Laat zo je licht maar schijnen’
Voorbeden en collecte
Voorbereiding Heilig Avondmaal
Lied: Psalm 42 (Opw. 281) - Als een hert
Viering van het Heilig Avondmaal 
'Toon mijn liefde’ (op 705)
Kom o Heilige Geest - Sela
Wees mijn verlangen (o Heer van mijn hart, Opw. 520)
Dankzegging
Slotlied: Laat heel de wereld het zien (Opw. 276)
Zegen"
2023-06-04,,,"Welkom
Lied Openingslied: opw 785 Fundament 
stil gebed
Votum en zegengroet
Belijden Efeziërs 1:3-14
Antwoordlied Pvn 16 - ik val niet uit zijn hand
Gebed voor de opening van het Woord
Bijbellezing Openbaring 18:1-3, 9-24
Lied Babylon (Matthijn Buwalda)
Preek
Antwoordlied Maak ons hart onrustig - schrijvers voor gerechtigheid
afkondigingen & aansluitend het voorbede gebed
oproep tot geven van gaven
collecte ondersteund met muziek: Hoe lang nog heer - schrijvers voor gerechtigheid
Slotlied Zegekroon
zegen"
2023-06-11,,," Openingslied: 
Ik wil juichen voor U mijn Heer. (opw. 589)
 Welkom, Votum en Groet
 + uitleg van de dienst
 Kinderlied: 
Hij is de Zoon van God (opw. 141)
 Gebed en kinderen naar de CC.
Leefregel: 
Psalm 19:8-15
 Preek 1: 
Spelregels van God
 Antwoordlied: 
in de Hemel is de Heer
 Lezing: 
1 Korinthe 12: 4-27
 Preek 2: 
Team Jezus
 Preek 3: 
Clubman/vrouw of abonnement gelovige? 
 Antwoordlied: 
Samen in de naam van Jezus (opw. 167)
 Korte gespreksopdracht met mensen om je heen. Kies een van de vragen:
Herken jij jezelf in een echte clubman/vrouw of meer in de abonnement gelovige?
Welke plek hebben de spelregels van God in jouw leven?
Welke positie zou je willen spelen in het team van Jezus?
Mededelingen + Gebed
 Collectelied:
 I speak Jesus
Slotlied: 
Over al wat leeft (opw. 569)
Zegen
 Aansluitend aan de dienst is er de gemeentemiddag. Ruimte voor ontmoeting in de grote zaal en buiten zal er gesport worden in de voetbalkooi aan de overkant van de weg en kan je aansluiten bij een groep die de buurt om de kerk opruimt. "
2023-06-18,,,"Welkom, opening van de dienst
 Lied 971 (NLB)
 Geloofsbelijdenis
 Lied: ‘Heer ik kom tot U, hoor naar mijn gebed’
 De kinderen gaan naar de chrisclub
 Gebed voor de opening van het Woord
 Bijbellezing: Handelingen 8,26-40
 Psalm 87 (DNP)
 Preek
 Lied: ‘Samen in de naam van Jezus’
 Aankondigingen en voorbeden
 Collecten
 Lied: ‘Wij kiezen voor de vrijheid’
 Zegen"
2023-06-25,,," Opening van de dienst
 Lied: 'Ik hef mijn ogen' (Psalm 121/Opw. 640)
 Leefregel uit Leviticus 19
 Lied: 'Create in me a clean heart'
 Kinderen gaan naar de chrisblub
 Gebed voor de opening van het Woord
 Bijbellezing: Handelingen 4,32-37
 Lied: 'Adem om van u te zingen' (Psalm 145/PvN)
 Preek
 Lied: 'Neem mijn leven, laat het Heer'
 Voorbeden en collecten
 Slotlied: 'Vrede van God' (Opw. 602)
 Zegen"
2023-07-02,,,"Opening van de dienst
 Lied: Onze schuilplaats is God - Mozaiek Worship
 Geloofsbelijdenis
 Lied: Aan uw voeten Heer - Opw 462
 {kinderen gaan naar de chrisclub}
 Bijbellezing: Johannes 8,31-36
 Preek: God wil kinderen, geen slaven
 Lied: God maakt vrij - Opw 720
 Voorbeden & collecte (lied tijdens collecte: Als een hert dat verlangt naar water - Opw 281)
 Bediening van de Heilige Doop aan Louis en Astrid
 Lied: Lopen op het water - Opw 789
 Openbare geloofsbelijdenis van: Sanne, Sander, Rik en Philip
 Viering Heilig Avondmaal
 Dankzegging: Loof de Heer - Psalm Project 136
 Sotied: Mijn verlosser leeft - Opw 554
 Zegen"
2023-07-09,,,"Welkom
 Zingen: Nieuw Liedboek 314: 1, 2 en 3 (
Here Jezus om uw woord
)
 Stil gebed
 Votum en vredegroet
 Leefregel uit Efeziers 5
   Let goed op welke weg u bewandelt en gedraag u niet als dwazen
    maar als verstandige mensen. Gebruik uw dagen goed want we leven in een slechte tijd.
    Wees niet onverstandig maar probeer te begrijpen wat de Heer wil.
 Zingen: Opwekking 194 (
U maakt ons één
)
 Kindermoment
 Gebed voor de opening van het woord
 Lezen: 1 Tessalonicenzen 2:1-13
 Zingen: Psalm 133 : 1, 2 (Nieuwe Psalmberijming)
 Preek over 1 Tessalonicenzen 2:8
 Zingen: Opwekking 378 : 1, 2, 3, 4 en 5 (
Ik wil jou van harte dienen
)
 Mededelingen en Gebed
 Zingen: Nieuw Liedboek 834 : 1, 2 en 3 (
Vernieuw Gij mij, o eeuwig Licht
)
 Collecte: Financiële ondersteuning in de gemeente
 Zingen: Nieuw Liedboek 425 (
Vervuld van uw zegen
)
 Zegen"
2023-07-16,,,"Opening van de dienst
 Lied: Dank u voor deze nieuwe morgen
 Leefregel
 Lied: Wij zijn als adem, U was er altijd - opw 558
 Gebed voor de opening van het Woord
 Bijbellezing (1): Lucas 18,18-30
 Lied: Licht Aan (Deze dingen wil God graag) - Schrijvers voor gerechtigheid
 Bijbellezing (2): Lucas 19,1-10
 Preek
 Lied: Mijn Jezus, mijn redder (Juich voor de Heer) - opw 461
 Voorbeden
 Collecte
 Slotwoord uit Psalm 103
 Slotlied: The Blessing - Cody Carnes, Kari Jobe
 Zegen"
2023-07-16,,,"Opening van de dienst
 Lied: Dank u voor deze nieuwe morgen
 Leefregel
 Lied: Wij zijn als adem, U was er altijd - opw 558
 Gebed voor de opening van het Woord
 Bijbellezing (1): Lucas 18,18-30
 Lied: Licht Aan (Deze dingen wil God graag) - Schrijvers voor gerechtigheid
 Bijbellezing (2): Lucas 19,1-10
 Preek
 Lied: Mijn Jezus, mijn redder (Juich voor de Heer) - opw 461
 Voorbeden
 Collecte
 Slotwoord uit Psalm 103
 Slotlied: The Blessing - Cody Carnes, Kari Jobe
 Zegen"
2023-07-23,,,"De kerkdienst wordt gehouden in de Immanuelkerk en wordt ook uitgezonden via Youtube
Klik 
hier
 om de dienst van deze week te bekijken
Thema: “Bomen kiezen een koning”
Welkom
 Votum en Zegengroet
 Lied: Dit is de dag
 Lied: Psalm 33: 1,2 en 3
 Gods leefregels: Deut. 5: 6-21; 6: 4-9 en 17: 18-20
 Lied: Psalm 146: 1,3 en 4
 Gebed
 Bijbellezing Rechters 8: 22-35
 Lied: Ps. 146: 2,5
 Bijbellezing Rechters 9: 1-21
 Preek
 Lied: Psalm 2: 1 en 2
 Afkondigingen
 Gebed
 Collecte
 Lied: Psalm 33: 4,5 en 6
 Zegen"
2023-07-30,,,"Votum en groet – Sela
 Welkom
 Belijdenis
 Lied Pvn 16 (Ik val niet uit zijn hand)
 Kort intro
 Gebed
 Lied Pvn 130 (Uit de diepten)
 Bijbellezing Gen. 37 : 2b – 11
 Lied OPW 733 (Tienduizend redenen)
 Preek
 Lied OPW 599 (Kom tot de Vader)
 Mededelingen / collecte
 Voorbede
 Lied OPW 595 (Licht van de wereld)
 Zegen"
2023-08-06,,,"Votum en groet
 Psalm 93,1-3 (Nieuwe Psalmberijming)
 Lezen wet Exodus 20
 Lied 7: 1 en 4 (Liedboek voor de kerken)
 Gebed
 Lezen: Ezechiël 1:1 en 1:26-3:3
 Psalm 40,4 (Nieuwe Psalmberijming)
 Tekst: Openbaringen 10
 Psalm 2,1-2 (Nieuwe Psalmberijming)
 Preek (ds. R. Heij, serie over Openbaringen)
 Gezang 139: 3 en 5 (Gereformeerd Kerkboek)
 Mededelingen
 Gebed
 Collecte
 Psalm 36,2 (Nieuwe Psalmberijming)
 Zegen"
2023-08-13,,,"Votum en groet
 Lied: ‘God, ik adem om van U te zingen’ (Psalmen voor Nu 145)
 Wet, schuldbelijdenis en genadeverkondiging
 Lied: 'Uit de diepte' (Psalmen voor Nu 130)
 Genadeverkondiging
 Lied: 'loof de Heer mijn ziel' (Psalm 103, psalm project)
 Gebed voor de opening van het Woord
 Bijbel lezen:
  Lezen: Deuteronomium 4:1-10
  Tekst: Openbaring 22:18-19
 Preek
 Lied: Door de wereld gaat een woord (LvK 802: 1, 2, 4)
 Mededelingen, voorbedegebed
 Collecte: Financiële ondersteuning
 Lied: God van Licht (Opw. 807)
 Zegen"
2023-08-20,,,"We pakken na de zomer de draad van het verhaal van Jozef weer op. Vandaag deel VI: de weg van verzoening (Genesis 42)
De kerkdienst wordt gehouden in de Immanuelkerk en wordt ook uitgezonden via Youtube.
Klik 
hier
 om de dienst van deze week te bekijken.
De lilturgie van deze dienst:
Welkom en opening van de dienst
 Opw. 638: Prijs Adonai
 Geloofsbelijdenis, gevolgd door:
 Opw. 263: Er is een verlosser
 Kindermoment
 Lied: U bent mijn schuilplaats Heer
 Gebed en bijbellezing: Genesis 42,1-28
 Preek 
 Psalm 32 (DNP), gevolgd door Opw. 767 (Familie)
 Voorbeden
 Collecte
 Slotlied: Wij blijven geloven
 Zegen"
2023-08-27,,,"Opening van de dienst
 LIed: Mijn hulp is van u heer (Opw. 640)
 Leefregel, gevolgd door:
 Lied: 'Heer ik kom tot u, hoor naar mijn gebed.'
 (Kinderen gaan naar de chrisclub)
 Gebed voor de opening van het Woord
 Bijbellezing: Genesis 43,1 - 44,3
 Preek
 Lied: Mijn Jezus, mijn redder (juich voor de Heer - Opw 461)
 Voorbede en collecte (lied tijdens collecte: Chris Tomlin: Holy Forever)
Viering van het Heilig Avondmaal. Tijdens de viering zingen we: 'Familie'; 'Er is een verlosser' en 'U bent mijn schuiplaats Heer'). Dankzegging na de viering: Psalm 103 vers 1 en 3 (GK). 
 Slotlied: Houd vol (Opw. 798)
 Zegen"
